Index,Date,Currency,Initial, Price (USD) ,GH Repo,ForkEvent,IssuesEvent,PullRequestEvent,WatchEvent,PushEvent, DJIA (USD) , LSE (USD) , Gold (USD) , Oil (USD) 
1,01/01/2017,Ethereum,ETH,8.14,ethereum/go-ethereum,0,3,0,0,0,"19,762.00","7,142.83","1,162.00",54.03
2,02/01/2017,Ethereum,ETH,8.33,ethereum/go-ethereum,2,2,1,7,1,"19,762.00","7,142.83","1,162.00",54.03
3,03/01/2017,Ethereum,ETH,9.59,ethereum/go-ethereum,2,4,6,4,1,"19,881.76","7,177.89","1,162.00",52.33
4,04/01/2017,Ethereum,ETH,10.88,ethereum/go-ethereum,1,2,5,8,2,"19,942.16","7,189.74","1,165.30",53.26
5,05/01/2017,Ethereum,ETH,10.2,ethereum/go-ethereum,4,1,12,3,8,"19,899.29","7,195.31","1,181.30",53.76
6,06/01/2017,Ethereum,ETH,10.07,ethereum/go-ethereum,6,4,13,8,6,"19,963.80","7,210.05","1,173.40",53.99
7,07/01/2017,Ethereum,ETH,9.78,ethereum/go-ethereum,1,0,1,2,0,"19,963.80","7,210.05","1,173.40",53.99
8,08/01/2017,Ethereum,ETH,10.27,ethereum/go-ethereum,1,2,4,9,2,"19,963.80","7,210.05","1,173.40",53.99
9,09/01/2017,Ethereum,ETH,10.2,ethereum/go-ethereum,2,4,15,8,8,"19,887.38","7,237.77","1,184.90",51.96
10,10/01/2017,Ethereum,ETH,10.55,ethereum/go-ethereum,4,7,6,2,0,"19,855.53","7,275.47","1,185.50",50.82
11,11/01/2017,Ethereum,ETH,9.83,ethereum/go-ethereum,3,2,8,2,5,"19,954.28","7,290.49","1,196.60",52.25
12,12/01/2017,Ethereum,ETH,9.81,ethereum/go-ethereum,5,7,10,6,5,"19,891.00","7,292.37","1,199.80",53.01
13,13/01/2017,Ethereum,ETH,9.78,ethereum/go-ethereum,5,4,4,8,2,"19,885.73","7,337.81","1,196.20",52.37
14,14/01/2017,Ethereum,ETH,9.78,ethereum/go-ethereum,2,2,0,2,0,"19,885.73","7,337.81","1,196.20",52.37
15,15/01/2017,Ethereum,ETH,9.88,ethereum/go-ethereum,1,2,1,7,0,"19,885.73","7,337.81","1,196.20",52.45
16,16/01/2017,Ethereum,ETH,9.59,ethereum/go-ethereum,1,7,11,3,6,"19,885.73","7,327.13","1,196.20",52.52
17,17/01/2017,Ethereum,ETH,10.14,ethereum/go-ethereum,4,2,12,3,5,"19,826.77","7,220.38","1,212.90",52.48
