Index,Date,Currency,Initial, Price (USD) ,GH Repo,ForkEvent,IssuesEvent,PullRequestEvent,WatchEvent,PushEvent, DJIA (USD) , LSE (USD) , Gold (USD) , Oil (USD) 
1,01/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,762.00","7,142.83","1,162.00",54.03
2,02/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,762.00","7,142.83","1,162.00",54.03
3,03/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,881.76","7,177.89","1,162.00",52.33
4,04/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,942.16","7,189.74","1,165.30",53.26
5,05/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,899.29","7,195.31","1,181.30",53.76
6,06/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,963.80","7,210.05","1,173.40",53.99
7,07/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,963.80","7,210.05","1,173.40",53.99
8,08/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,963.80","7,210.05","1,173.40",53.99
9,09/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,887.38","7,237.77","1,184.90",51.96
10,10/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,855.53","7,275.47","1,185.50",50.82
11,11/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,954.28","7,290.49","1,196.60",52.25
12,12/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,891.00","7,292.37","1,199.80",53.01
13,13/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,885.73","7,337.81","1,196.20",52.37
14,14/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,885.73","7,337.81","1,196.20",52.37
15,15/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,885.73","7,337.81","1,196.20",52.45
16,16/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,885.73","7,327.13","1,196.20",52.52
17,17/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,826.77","7,220.38","1,212.90",52.48
18,18/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,804.72","7,247.61","1,212.10",51.08
19,19/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,732.40","7,208.44","1,201.50",51.37
20,20/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,827.25","7,198.44","1,204.90",52.42
21,21/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,827.25","7,198.44","1,204.90",52.42
22,22/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,827.25","7,198.44","1,204.90",52.42
23,23/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,799.85","7,151.18","1,215.60",52.75
24,24/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,912.71","7,150.34","1,210.80",53.18
25,25/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"20,068.51","7,164.43","1,200.50",52.75
26,26/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"20,100.91","7,161.49","1,192.50",53.78
27,27/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"20,093.78","7,184.49","1,191.10",53.17
28,28/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"20,093.78","7,184.49","1,191.10",53.17
29,29/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"20,093.78","7,184.49","1,191.10",53.17
30,30/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,971.13","7,118.48","1,196.00",52.63
31,31/01/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,864.09","7,099.15","1,211.40",52.81
32,01/02/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,890.94","7,107.65","1,208.30",53.88
33,02/02/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"19,884.91","7,140.75","1,219.40",53.54
34,03/02/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"20,071.46","7,188.30","1,220.80",53.83
35,04/02/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"20,071.46","7,188.30","1,220.80",53.83
36,05/02/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"20,071.46","7,188.30","1,220.80",53.83
37,06/02/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"20,052.42","7,172.15","1,232.10",53.01
38,07/02/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"20,090.29","7,186.22","1,236.10",52.17
39,08/02/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"20,054.34","7,188.82","1,239.50",52.34
40,09/02/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"20,172.40","7,229.50","1,236.80",53
41,10/02/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"20,269.37","7,258.75","1,235.90",53.86
42,11/02/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"20,269.37","7,258.75","1,235.90",53.86
43,12/02/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"20,269.37","7,258.75","1,235.90",53.86
44,13/02/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"20,412.16","7,278.92","1,225.80",52.93
45,14/02/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"20,504.41","7,268.56","1,225.40",53.2
46,15/02/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"20,611.86","7,302.41","1,233.10",53.11
47,16/02/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"20,619.77","7,277.92","1,241.60",53.36
48,17/02/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"20,624.05","7,299.96","1,239.10",53.4
49,18/02/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"20,624.05","7,299.96","1,239.10",53.4
50,19/02/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"20,624.05","7,299.96","1,239.10",53.79
51,20/02/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"20,624.05","7,299.86","1,239.10",53.97
52,21/02/2017,Binance Coin USD,BNB,0,binance-exchange/binance-official-api-docs,0,0,0,0,0,"20,743.00","7,274.83","1,238.90",54.06
